净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,上证涨跌
2022-04-08,1.0292,2.7453,-0.38%,限制大额申购,开放赎回,0.47%
2022-04-07,1.0331,2.7492,0.06%,限制大额申购,开放赎回,-1.42%
2022-04-06,1.0325,2.7486,-1.25%,限制大额申购,开放赎回,0.02%
2022-04-01,1.0456,2.7617,2.40%,限制大额申购,开放赎回,0.94%
2022-03-31,1.0211,2.7372,-0.67%,限制大额申购,开放赎回,-0.44%
2022-03-30,1.0280,2.7441,3.92%,限制大额申购,开放赎回,1.96%
2022-03-29,0.9892,2.7053,-0.77%,限制大额申购,开放赎回,-0.33%
2022-03-28,0.9969,2.7130,-3.23%,限制大额申购,开放赎回,0.07%
2022-03-25,1.0302,2.7463,-2.84%,限制大额申购,开放赎回,-1.17%
2022-03-24,1.0603,2.7764,-2.29%,限制大额申购,开放赎回,-0.63%
2022-03-23,1.0852,2.8013,1.44%,限制大额申购,开放赎回,0.34%
2022-03-22,1.0698,2.7859,-1.09%,限制大额申购,开放赎回,0.19%
2022-03-21,1.0816,2.7977,-0.14%,限制大额申购,开放赎回,0.08%
2022-03-18,1.0831,2.7992,-0.51%,限制大额申购,开放赎回,1.12%
2022-03-17,1.0887,2.8048,3.16%,限制大额申购,开放赎回,1.40%
2022-03-16,1.0553,2.7714,2.85%,限制大额申购,开放赎回,3.48%
2022-03-15,1.0261,2.7422,-4.74%,限制大额申购,开放赎回,-4.95%
2022-03-14,1.0772,2.7933,-5.15%,限制大额申购,开放赎回,-2.60%
2022-03-11,1.1357,2.8518,-0.79%,限制大额申购,开放赎回,0.41%
2022-03-10,1.1448,2.8609,4.08%,限制大额申购,开放赎回,1.22%
2022-03-09,1.0999,2.8160,0.20%,限制大额申购,开放赎回,-1.13%
2022-03-08,1.0977,2.8138,0.22%,限制大额申购,开放赎回,-2.35%
2022-03-07,1.0953,2.8114,-4.09%,限制大额申购,开放赎回,-2.17%
2022-03-04,1.1420,2.8581,-1.15%,限制大额申购,开放赎回,-0.96%
2022-03-03,1.1553,2.8714,-3.35%,限制大额申购,开放赎回,-0.09%
2022-03-02,1.1954,2.9115,-0.93%,限制大额申购,开放赎回,-0.13%
2022-03-01,1.2066,2.9227,2.15%,限制大额申购,开放赎回,0.77%
2022-02-28,1.1812,2.8973,0.46%,限制大额申购,开放赎回,0.32%
2022-02-25,1.1758,2.8919,0.99%,限制大额申购,开放赎回,0.63%
2022-02-24,1.1643,2.8804,-3.51%,限制大额申购,开放赎回,-1.70%
2022-02-23,1.2066,2.9227,0.86%,限制大额申购,开放赎回,0.93%
2022-02-22,1.1963,2.9124,-2.20%,限制大额申购,开放赎回,-0.96%
2022-02-21,1.2232,2.9393,-0.26%,限制大额申购,开放赎回,0.00%
2022-02-18,1.2264,2.9425,0.71%,限制大额申购,开放赎回,0.66%
2022-02-17,1.2178,2.9339,-0.51%,限制大额申购,开放赎回,0.06%
2022-02-16,1.2241,2.9402,0.46%,限制大额申购,开放赎回,0.57%
2022-02-15,1.2185,2.9346,1.54%,限制大额申购,开放赎回,0.50%
2022-02-14,1.2000,2.9161,1.44%,限制大额申购,开放赎回,-0.98%
2022-02-11,1.1830,2.8991,0.59%,限制大额申购,开放赎回,-0.66%
2022-02-10,1.1761,2.8922,-0.57%,限制大额申购,开放赎回,0.17%
2022-02-09,1.1829,2.8990,4.43%,限制大额申购,开放赎回,0.79%
2022-02-08,1.1327,2.8488,-2.66%,限制大额申购,开放赎回,0.67%
2022-02-07,1.1637,2.8798,0.04%,限制大额申购,开放赎回,2.03%
2022-01-28,1.1632,2.8793,-3.17%,限制大额申购,开放赎回,-0.97%
2022-01-27,1.2013,2.9174,-1.10%,限制大额申购,开放赎回,-1.78%
2022-01-26,1.2146,2.9307,1.16%,限制大额申购,开放赎回,0.66%
2022-01-25,1.2007,2.9168,-2.18%,限制大额申购,开放赎回,-2.58%
2022-01-24,1.2274,2.9435,-0.78%,限制大额申购,开放赎回,0.04%
2022-01-21,1.2370,2.9531,1.27%,限制大额申购,开放赎回,-0.91%
2022-01-20,1.2215,2.9376,1.63%,限制大额申购,开放赎回,-0.09%
2022-01-19,1.2019,2.9180,-0.97%,限制大额申购,开放赎回,-0.33%
2022-01-18,1.2137,2.9298,1.74%,限制大额申购,开放赎回,0.80%
2022-01-17,1.1929,2.9090,0.52%,限制大额申购,开放赎回,0.58%
2022-01-14,1.1867,2.9028,-0.67%,限制大额申购,开放赎回,-0.96%
2022-01-13,1.1947,2.9108,-3.32%,限制大额申购,开放赎回,-1.17%
2022-01-12,1.2357,2.9518,0.50%,限制大额申购,开放赎回,0.84%
2022-01-11,1.2296,2.9457,-1.12%,限制大额申购,开放赎回,-0.73%
2022-01-10,1.2435,2.9596,-0.43%,限制大额申购,开放赎回,0.39%
2022-01-07,1.2489,2.9650,-1.89%,限制大额申购,开放赎回,-0.18%
2022-01-06,1.2729,2.9890,-1.32%,限制大额申购,开放赎回,-0.25%
2022-01-05,1.2899,3.0060,-0.83%,限制大额申购,开放赎回,-1.02%
2022-01-04,1.3007,3.0168,-0.58%,限制大额申购,开放赎回,-0.20%
2021-12-31,1.3083,3.0244,-0.99%,暂停申购,开放赎回,0.57%
2021-12-30,1.3668,3.0379,0.97%,暂停申购,开放赎回,0.62%
2021-12-29,1.3537,3.0248,-4.72%,限制大额申购,开放赎回,-0.91%
2021-12-28,1.4207,3.0918,1.02%,限制大额申购,开放赎回,0.39%
2021-12-27,1.4064,3.0775,-0.80%,限制大额申购,开放赎回,-0.06%
2021-12-24,1.4178,3.0889,0.59%,限制大额申购,开放赎回,-0.69%
2021-12-23,1.4095,3.0806,2.17%,限制大额申购,开放赎回,0.57%
2021-12-22,1.3796,3.0507,0.20%,限制大额申购,开放赎回,-0.07%
2021-12-21,1.3768,3.0479,-0.87%,限制大额申购,开放赎回,0.88%
2021-12-20,1.3889,3.0600,0.28%,限制大额申购,开放赎回,-1.07%
2021-12-17,1.3850,3.0561,-2.74%,限制大额申购,开放赎回,-1.16%
2021-12-16,1.4240,3.0951,-1.65%,限制大额申购,开放赎回,0.75%
2021-12-15,1.4479,3.1190,-1.28%,限制大额申购,开放赎回,-0.38%
2021-12-14,1.4666,3.1377,0.84%,限制大额申购,开放赎回,-0.53%
2021-12-13,1.4544,3.1255,0.98%,限制大额申购,开放赎回,0.40%
2021-12-10,1.4403,3.1114,-0.22%,限制大额申购,开放赎回,-0.18%
2021-12-09,1.4435,3.1146,1.32%,限制大额申购,开放赎回,0.98%
2021-12-08,1.4523,3.0954,3.88%,限制大额申购,开放赎回,1.18%
2021-12-07,1.3981,3.0412,-0.16%,限制大额申购,开放赎回,0.16%
2021-12-06,1.4003,3.0434,-0.67%,限制大额申购,开放赎回,-0.50%
2021-12-03,1.4097,3.0528,2.93%,限制大额申购,开放赎回,0.94%
2021-12-02,1.3696,3.0127,0.96%,限制大额申购,开放赎回,-0.09%
2021-12-01,1.3566,2.9997,0.58%,限制大额申购,开放赎回,0.36%
2021-11-30,1.3488,2.9919,-1.93%,限制大额申购,开放赎回,0.03%
2021-11-29,1.3754,3.0185,0.67%,限制大额申购,开放赎回,-0.04%
2021-11-26,1.3662,3.0093,-0.25%,限制大额申购,开放赎回,-0.56%
2021-11-25,1.3696,3.0127,-0.49%,限制大额申购,开放赎回,-0.24%
2021-11-24,1.3764,3.0195,2.62%,限制大额申购,开放赎回,0.10%
2021-11-23,1.3413,2.9844,-0.19%,限制大额申购,开放赎回,0.20%
2021-11-22,1.3439,2.9870,0.84%,限制大额申购,开放赎回,0.61%
2021-11-19,1.3327,2.9758,1.42%,限制大额申购,开放赎回,1.13%
2021-11-18,1.3140,2.9571,0.14%,限制大额申购,开放赎回,-0.47%
2021-11-17,1.3121,2.9552,-0.55%,限制大额申购,开放赎回,0.44%
2021-11-16,1.3194,2.9625,3.73%,限制大额申购,开放赎回,-0.33%
2021-11-15,1.2720,2.9151,0.27%,限制大额申购,开放赎回,-0.16%
2021-11-12,1.2686,2.9117,-1.47%,限制大额申购,开放赎回,0.18%
2021-11-11,1.2875,2.9306,0.06%,限制大额申购,开放赎回,1.15%
2021-11-10,1.2867,2.9298,-1.88%,限制大额申购,开放赎回,-0.41%
2021-11-09,1.3113,2.9544,-0.89%,限制大额申购,开放赎回,0.24%
2021-11-08,1.3231,2.9662,-0.07%,限制大额申购,开放赎回,0.20%
2021-11-05,1.3240,2.9671,0.14%,限制大额申购,开放赎回,-1.00%
2021-11-04,1.3221,2.9652,4.13%,限制大额申购,开放赎回,0.81%
2021-11-03,1.2697,2.9128,-1.10%,限制大额申购,开放赎回,-0.20%
2021-11-02,1.2838,2.9269,-1.80%,限制大额申购,开放赎回,-1.10%
2021-11-01,1.3073,2.9504,-1.01%,限制大额申购,开放赎回,-0.08%
2021-10-29,1.3207,2.9638,0.13%,限制大额申购,开放赎回,0.82%
2021-10-28,1.3190,2.9621,0.73%,限制大额申购,开放赎回,-1.23%
2021-10-27,1.3094,2.9525,-2.30%,限制大额申购,开放赎回,-0.98%
2021-10-26,1.3402,2.9833,-0.08%,限制大额申购,开放赎回,-0.34%
2021-10-25,1.3413,2.9844,-1.14%,限制大额申购,开放赎回,0.76%
2021-10-22,1.3568,2.9999,0.98%,限制大额申购,开放赎回,-0.34%
2021-10-21,1.3436,2.9867,0.34%,限制大额申购,开放赎回,0.22%
2021-10-20,1.3391,2.9822,0.72%,限制大额申购,开放赎回,-0.17%
2021-10-19,1.3295,2.9726,2.55%,限制大额申购,开放赎回,0.70%
2021-10-18,1.2965,2.9396,-6.93%,限制大额申购,开放赎回,-0.12%
2021-10-15,1.3931,3.0362,-0.57%,限制大额申购,开放赎回,0.40%
2021-10-14,1.4011,3.0442,-0.23%,限制大额申购,开放赎回,-0.10%
2021-10-13,1.4044,3.0475,3.94%,限制大额申购,开放赎回,0.42%
2021-10-12,1.3511,2.9942,0.33%,限制大额申购,开放赎回,-1.25%
2021-10-11,1.3467,2.9898,-0.22%,限制大额申购,开放赎回,-0.01%
2021-10-08,1.3497,2.9928,2.93%,限制大额申购,开放赎回,0.67%
2021-09-30,1.3113,2.9544,0.67%,限制大额申购,开放赎回,0.90%
2021-09-29,1.3026,2.9457,-0.25%,限制大额申购,开放赎回,-1.83%
2021-09-28,1.3059,2.9490,-1.41%,限制大额申购,开放赎回,0.54%
2021-09-27,1.3246,2.9677,6.25%,限制大额申购,开放赎回,-0.84%
2021-09-24,1.2467,2.8898,2.72%,限制大额申购,开放赎回,-0.80%
2021-09-23,1.2137,2.8568,0.32%,限制大额申购,开放赎回,0.38%
2021-09-22,1.2098,2.8529,-3.33%,限制大额申购,开放赎回,0.40%
2021-09-17,1.2515,2.8946,3.75%,限制大额申购,开放赎回,0.19%
2021-09-16,1.2063,2.8494,1.02%,限制大额申购,开放赎回,-1.34%
2021-09-15,1.1941,2.8372,-2.89%,限制大额申购,开放赎回,-0.17%
2021-09-14,1.2296,2.8727,-0.28%,限制大额申购,开放赎回,-1.42%
2021-09-13,1.2331,2.8762,-0.85%,限制大额申购,开放赎回,0.33%
2021-09-10,1.2437,2.8868,2.40%,限制大额申购,开放赎回,0.27%
2021-09-09,1.2146,2.8577,-0.16%,限制大额申购,开放赎回,0.49%
2021-09-08,1.2166,2.8597,-2.08%,限制大额申购,开放赎回,-0.04%
2021-09-07,1.2425,2.8856,0.55%,限制大额申购,开放赎回,1.51%
2021-09-06,1.2477,2.8788,3.15%,限制大额申购,开放赎回,1.12%
2021-09-03,1.2096,2.8407,0.83%,限制大额申购,开放赎回,-0.43%
2021-09-02,1.1996,2.8307,-1.60%,限制大额申购,开放赎回,0.84%
2021-09-01,1.2191,2.8502,3.35%,限制大额申购,开放赎回,0.65%
2021-08-31,1.1796,2.8107,-1.77%,限制大额申购,开放赎回,0.45%
2021-08-30,1.2008,2.8319,0.97%,限制大额申购,开放赎回,0.17%
2021-08-27,1.1893,2.8204,-0.03%,开放申购,开放赎回,0.59%
2021-08-26,1.1897,2.8208,-3.31%,开放申购,开放赎回,-1.09%
2021-08-25,1.2304,2.8615,2.81%,开放申购,开放赎回,0.74%
2021-08-24,1.1968,2.8279,2.39%,开放申购,开放赎回,1.07%
2021-08-23,1.1689,2.8000,1.82%,开放申购,开放赎回,1.45%
2021-08-20,1.1480,2.7791,-6.40%,开放申购,开放赎回,-1.10%
2021-08-19,1.2265,2.8576,-1.25%,开放申购,开放赎回,-0.57%
2021-08-18,1.2420,2.8731,0.57%,开放申购,开放赎回,1.11%
2021-08-17,1.2349,2.8660,-4.62%,开放申购,开放赎回,-2.00%
2021-08-16,1.2947,2.9258,0.26%,开放申购,开放赎回,0.03%
2021-08-13,1.2914,2.9225,0.80%,开放申购,开放赎回,-0.24%
2021-08-12,1.2812,2.9123,-1.73%,开放申购,开放赎回,-0.22%
2021-08-11,1.3038,2.9349,-1.61%,开放申购,开放赎回,0.08%
2021-08-10,1.3251,2.9562,6.48%,开放申购,开放赎回,1.01%
2021-08-09,1.2445,2.8756,1.06%,开放申购,开放赎回,1.05%
2021-08-06,1.2314,2.8625,-0.39%,开放申购,开放赎回,-0.24%
2021-08-05,1.2362,2.8673,-1.37%,开放申购,开放赎回,-0.31%
2021-08-04,1.2534,2.8845,-1.59%,开放申购,开放赎回,0.85%
2021-08-03,1.2736,2.9047,0.95%,开放申购,开放赎回,-0.47%
2021-08-02,1.2616,2.8927,5.49%,开放申购,开放赎回,1.97%
2021-07-30,1.1959,2.8270,-6.03%,开放申购,开放赎回,-0.42%
2021-07-29,1.2726,2.9037,-1.52%,开放申购,开放赎回,1.49%
2021-07-28,1.2922,2.9233,0.85%,开放申购,开放赎回,-0.58%
2021-07-27,1.2813,2.9124,-3.60%,开放申购,开放赎回,-2.49%
2021-07-26,1.3292,2.9603,-7.24%,开放申购,开放赎回,-2.34%
2021-07-23,1.4329,3.0640,-2.29%,开放申购,开放赎回,-0.68%
2021-07-22,1.4665,3.0976,-1.95%,开放申购,开放赎回,0.34%
2021-07-21,1.4956,3.1267,-0.08%,开放申购,开放赎回,0.73%
2021-07-20,1.4968,3.1279,0.07%,开放申购,开放赎回,-0.07%
2021-07-19,1.4957,3.1268,0.88%,开放申购,开放赎回,-0.01%
2021-07-16,1.4826,3.1137,-0.84%,开放申购,开放赎回,-0.71%
2021-07-15,1.4951,3.1262,2.64%,开放申购,开放赎回,1.02%
2021-07-14,1.4567,3.0878,0.57%,开放申购,开放赎回,-1.07%
2021-07-13,1.4485,3.0796,2.51%,开放申购,开放赎回,0.53%
2021-07-12,1.4130,3.0441,0.83%,开放申购,开放赎回,0.67%
2021-07-09,1.4013,3.0324,-3.41%,开放申购,开放赎回,-0.04%
2021-07-08,1.4508,3.0819,-1.53%,开放申购,开放赎回,-0.79%
2021-07-07,1.4733,3.1044,1.31%,开放申购,开放赎回,0.66%
2021-07-06,1.4543,3.0854,-0.11%,开放申购,开放赎回,-0.11%
2021-07-05,1.4559,3.0870,0.85%,开放申购,开放赎回,0.44%
2021-07-02,1.4436,3.0747,-3.97%,开放申购,开放赎回,-1.95%
2021-07-01,1.5033,3.1344,1.26%,开放申购,开放赎回,-0.07%
2021-06-30,1.4846,3.1157,0.86%,开放申购,开放赎回,0.50%
2021-06-29,1.4720,3.1031,-2.03%,开放申购,开放赎回,-0.92%
2021-06-28,1.5025,3.1336,0.81%,开放申购,开放赎回,-0.03%
2021-06-25,1.4905,3.1216,2.05%,开放申购,开放赎回,1.15%
2021-06-24,1.4605,3.0916,0.87%,开放申购,开放赎回,0.01%
2021-06-23,1.4479,3.0790,-3.43%,开放申购,开放赎回,0.25%
2021-06-22,1.4993,3.1304,0.58%,开放申购,开放赎回,0.80%
2021-06-21,1.4907,3.1218,-0.82%,开放申购,开放赎回,0.12%
2021-06-18,1.5031,3.1342,-1.61%,开放申购,开放赎回,-0.01%
2021-06-17,1.5277,3.1588,2.00%,开放申购,开放赎回,0.21%
2021-06-16,1.4978,3.1289,-1.34%,开放申购,开放赎回,-1.07%
2021-06-15,1.5182,3.1493,-0.04%,开放申购,开放赎回,-0.92%
2021-06-11,1.5188,3.1499,-3.09%,开放申购,开放赎回,-0.58%
2021-06-10,1.5673,3.1984,1.69%,开放申购,开放赎回,0.54%
2021-06-09,1.5412,3.1723,0.11%,开放申购,开放赎回,0.32%
2021-06-08,1.5395,3.1706,-6.50%,开放申购,开放赎回,-0.54%
2021-06-07,1.6466,3.2777,1.61%,开放申购,开放赎回,0.21%
2021-06-04,1.6205,3.2516,1.92%,开放申购,开放赎回,0.21%
2021-06-03,1.5900,3.2211,1.52%,开放申购,开放赎回,-0.36%
2021-06-02,1.5662,3.1973,-1.45%,开放申购,开放赎回,-0.76%
2021-06-01,1.5893,3.2204,1.20%,开放申购,开放赎回,0.26%
2021-05-31,1.5704,3.2015,0.58%,开放申购,开放赎回,0.41%
2021-05-28,1.5613,3.1924,0.13%,开放申购,开放赎回,-0.22%
2021-05-27,1.5593,3.1904,0.55%,开放申购,开放赎回,0.43%
2021-05-26,1.5507,3.1818,-0.86%,开放申购,开放赎回,0.34%
2021-05-25,1.5642,3.1953,3.49%,开放申购,开放赎回,2.40%
2021-05-24,1.5114,3.1425,2.63%,开放申购,开放赎回,0.31%
2021-05-21,1.4726,3.1037,0.29%,开放申购,开放赎回,-0.58%
2021-05-20,1.4683,3.0994,2.46%,开放申购,开放赎回,-0.11%
2021-05-19,1.4331,3.0642,-0.84%,开放申购,开放赎回,-0.51%
2021-05-18,1.4453,3.0764,0.19%,开放申购,开放赎回,0.32%
2021-05-17,1.4426,3.0737,1.95%,开放申购,开放赎回,0.78%
2021-05-14,1.4150,3.0461,1.45%,开放申购,开放赎回,1.77%
2021-05-13,1.3948,3.0259,0.19%,开放申购,开放赎回,-0.96%
2021-05-12,1.3922,3.0233,1.61%,开放申购,开放赎回,0.61%
2021-05-11,1.3701,3.0012,3.51%,开放申购,开放赎回,0.40%
2021-05-10,1.3236,2.9547,-1.70%,开放申购,开放赎回,0.27%
2021-05-07,1.3465,2.9776,-1.67%,开放申购,开放赎回,-0.65%
2021-05-06,1.3694,3.0005,-3.05%,开放申购,开放赎回,-0.16%
2021-04-30,1.4125,3.0436,-1.16%,开放申购,开放赎回,-0.81%
2021-04-29,1.4291,3.0602,-0.12%,开放申购,开放赎回,0.52%
2021-04-28,1.4308,3.0619,2.51%,开放申购,开放赎回,0.42%
2021-04-27,1.3957,3.0268,1.38%,开放申购,开放赎回,0.04%
2021-04-26,1.3767,3.0078,-1.43%,开放申购,开放赎回,-0.95%
2021-04-23,1.3967,3.0278,1.13%,开放申购,开放赎回,0.26%
2021-04-22,1.3811,3.0122,-0.02%,开放申购,开放赎回,-0.23%
2021-04-21,1.3814,3.0125,2.45%,开放申购,开放赎回,0.00%
2021-04-20,1.3483,2.9794,1.14%,开放申购,开放赎回,-0.13%
2021-04-19,1.3331,2.9642,1.24%,开放申购,开放赎回,1.49%
2021-04-16,1.3168,2.9479,2.46%,开放申购,开放赎回,0.81%
2021-04-15,1.2852,2.9163,-0.76%,开放申购,开放赎回,-0.52%
2021-04-14,1.2950,2.9261,1.27%,开放申购,开放赎回,0.60%
2021-04-13,1.2788,2.9099,0.90%,开放申购,开放赎回,-0.48%
2021-04-12,1.2674,2.8985,0.10%,开放申购,开放赎回,-1.09%
2021-04-09,1.2661,2.8972,-2.82%,开放申购,开放赎回,-0.92%
2021-04-08,1.3029,2.9340,1.93%,开放申购,开放赎回,0.08%
2021-04-07,1.2782,2.9093,-4.43%,开放申购,开放赎回,-0.10%
2021-04-06,1.3374,2.9685,-1.41%,开放申购,开放赎回,-0.04%
2021-04-02,1.3565,2.9876,4.78%,开放申购,开放赎回,0.52%
2021-04-01,1.2946,2.9257,2.42%,开放申购,开放赎回,0.71%
2021-03-31,1.2640,2.8951,-1.75%,开放申购,开放赎回,-0.43%
2021-03-30,1.2865,2.9176,0.40%,开放申购,开放赎回,0.62%
2021-03-29,1.2814,2.9125,1.80%,开放申购,开放赎回,0.50%
2021-03-26,1.2588,2.8899,3.65%,开放申购,开放赎回,1.63%
2021-03-25,1.2145,2.8456,-0.74%,开放申购,开放赎回,-0.10%
2021-03-24,1.2235,2.8546,0.07%,开放申购,开放赎回,-1.30%
2021-03-23,1.2227,2.8538,0.94%,开放申购,开放赎回,-0.93%
2021-03-22,1.2113,2.8424,0.46%,开放申购,开放赎回,1.14%
2021-03-19,1.2058,2.8369,-2.67%,开放申购,开放赎回,-1.69%
2021-03-18,1.2389,2.8700,2.95%,开放申购,开放赎回,0.51%
2021-03-17,1.2034,2.8345,1.25%,开放申购,开放赎回,-0.03%
2021-03-16,1.1886,2.8197,2.71%,开放申购,开放赎回,0.78%
2021-03-15,1.1572,2.7883,-4.89%,开放申购,开放赎回,-0.96%
2021-03-12,1.2167,2.8478,0.40%,开放申购,开放赎回,0.47%
2021-03-11,1.2119,2.8430,3.87%,开放申购,开放赎回,2.36%
2021-03-10,1.1668,2.7979,3.67%,开放申购,开放赎回,-0.05%
2021-03-09,1.1255,2.7566,-3.22%,开放申购,开放赎回,-1.82%
2021-03-08,1.1629,2.7940,-7.12%,开放申购,开放赎回,-2.30%
2021-03-05,1.2521,2.8832,1.18%,开放申购,开放赎回,-0.04%
2021-03-04,1.2375,2.8686,-4.98%,开放申购,开放赎回,-2.05%
2021-03-03,1.3024,2.9335,2.43%,开放申购,开放赎回,1.95%
2021-03-02,1.2715,2.9026,-2.75%,开放申购,开放赎回,-1.21%
2021-03-01,1.3075,2.9386,0.58%,开放申购,开放赎回,1.21%
2021-02-26,1.2999,2.9310,-2.80%,开放申购,开放赎回,-2.12%
2021-02-25,1.3373,2.9684,-1.43%,开放申购,开放赎回,0.59%
2021-02-24,1.3567,2.9878,-5.52%,开放申购,开放赎回,-1.99%
2021-02-23,1.4360,3.0671,0.33%,开放申购,开放赎回,-0.17%
2021-02-22,1.4313,3.0624,-7.90%,开放申购,开放赎回,-1.45%
2021-02-19,1.5541,3.1852,-0.58%,开放申购,开放赎回,0.57%
2021-02-18,1.5632,3.1943,-3.49%,开放申购,开放赎回,0.55%
2021-02-10,1.6198,3.2509,4.92%,开放申购,开放赎回,1.43%
2021-02-09,1.5439,3.1750,2.34%,开放申购,开放赎回,2.01%
2021-02-08,1.5086,3.1397,0.01%,开放申购,开放赎回,1.03%
2021-02-05,1.5084,3.1395,1.10%,开放申购,开放赎回,-0.16%
2021-02-04,1.4920,3.1231,0.55%,开放申购,开放赎回,-0.44%
2021-02-03,1.4838,3.1149,-0.04%,开放申购,开放赎回,-0.46%
2021-02-02,1.4844,3.1155,4.37%,开放申购,开放赎回,0.81%
2021-02-01,1.4223,3.0534,-0.22%,开放申购,开放赎回,0.64%
2021-01-29,1.4254,3.0565,1.84%,开放申购,开放赎回,-0.63%
2021-01-28,1.3997,3.0308,-1.28%,开放申购,开放赎回,-1.91%
2021-01-27,1.4179,3.0490,-2.88%,开放申购,开放赎回,0.11%
2021-01-26,1.4599,3.0910,-2.24%,开放申购,开放赎回,-1.51%
2021-01-25,1.4934,3.1245,6.35%,开放申购,开放赎回,0.48%
2021-01-22,1.4042,3.0353,-0.75%,开放申购,开放赎回,-0.40%
2021-01-21,1.4148,3.0459,2.98%,开放申购,开放赎回,1.07%
2021-01-20,1.3739,3.0050,0.77%,开放申购,开放赎回,0.47%
2021-01-19,1.3634,2.9945,-2.02%,开放申购,开放赎回,-0.83%
2021-01-18,1.3915,3.0226,-1.84%,开放申购,开放赎回,0.84%
2021-01-15,1.4176,3.0487,-3.10%,开放申购,开放赎回,0.01%
2021-01-14,1.4629,3.0940,-3.13%,开放申购,开放赎回,-0.91%
2021-01-13,1.5102,3.1413,-0.93%,开放申购,开放赎回,-0.27%
2021-01-12,1.5243,3.1554,3.06%,开放申购,开放赎回,2.18%
2021-01-11,1.4791,3.1102,-3.24%,开放申购,开放赎回,-1.08%
2021-01-08,1.5287,3.1598,-2.99%,开放申购,开放赎回,-0.17%
2021-01-07,1.5758,3.2069,1.45%,开放申购,开放赎回,0.71%
2021-01-06,1.5533,3.1844,0.29%,开放申购,开放赎回,0.63%
2021-01-05,1.5488,3.1799,5.12%,开放申购,开放赎回,0.73%
2021-01-04,1.4734,3.1045,3.28%,暂停申购,暂停赎回,0.86%
2020-12-31,1.4266,3.0577,1.78%,暂停申购,暂停赎回,1.72%
2020-12-30,1.4017,3.0328,2.19%,限制大额申购,开放赎回,1.05%
2020-12-29,1.3717,3.0028,-1.10%,限制大额申购,开放赎回,-0.54%
2020-12-28,1.3869,3.0180,4.93%,限制大额申购,开放赎回,0.02%
2020-12-25,1.3217,2.9528,-0.02%,限制大额申购,开放赎回,0.99%
2020-12-24,1.3219,2.9530,-1.91%,限制大额申购,开放赎回,-0.57%
2020-12-23,1.3476,2.9787,-0.56%,限制大额申购,开放赎回,0.76%
2020-12-22,1.3552,2.9863,1.80%,限制大额申购,开放赎回,-1.86%
2020-12-21,1.3313,2.9624,0.48%,限制大额申购,开放赎回,0.76%
2020-12-18,1.3249,2.9560,0.25%,限制大额申购,开放赎回,-0.29%
2020-12-17,1.3216,2.9527,2.78%,限制大额申购,开放赎回,1.13%
2020-12-16,1.2858,2.9169,2.30%,暂停申购,暂停赎回,-0.01%
2020-12-15,1.2569,2.8880,-0.59%,暂停申购,暂停赎回,-0.06%
2020-12-14,1.2713,2.8955,2.34%,限制大额申购,开放赎回,0.66%
2020-12-11,1.2422,2.8664,0.57%,限制大额申购,开放赎回,-0.77%
2020-12-10,1.2352,2.8594,0.84%,限制大额申购,开放赎回,0.04%
2020-12-09,1.2249,2.8491,-0.46%,限制大额申购,开放赎回,-1.12%
2020-12-08,1.2305,2.8547,1.53%,限制大额申购,开放赎回,-0.19%
2020-12-07,1.2120,2.8362,0.32%,限制大额申购,开放赎回,-0.81%
2020-12-04,1.2081,2.8323,3.40%,限制大额申购,开放赎回,0.07%
2020-12-03,1.1684,2.7926,0.99%,限制大额申购,开放赎回,-0.21%
2020-12-02,1.1569,2.7811,-0.03%,限制大额申购,开放赎回,-0.07%
2020-12-01,1.1573,2.7815,0.87%,限制大额申购,开放赎回,1.77%
2020-11-30,1.1473,2.7715,-3.01%,限制大额申购,开放赎回,-0.49%
2020-11-27,1.1829,2.8071,0.60%,限制大额申购,开放赎回,1.14%
2020-11-26,1.1758,2.8000,0.50%,限制大额申购,开放赎回,0.22%
2020-11-25,1.1699,2.7941,-3.51%,限制大额申购,开放赎回,-1.19%
2020-11-24,1.2125,2.8367,0.60%,限制大额申购,开放赎回,-0.34%
2020-11-23,1.2053,2.8295,1.03%,限制大额申购,开放赎回,1.09%
2020-11-20,1.1930,2.8172,1.49%,限制大额申购,开放赎回,0.44%
2020-11-19,1.1755,2.7997,0.38%,限制大额申购,开放赎回,0.47%
2020-11-18,1.1710,2.7952,-1.62%,限制大额申购,开放赎回,0.22%
2020-11-17,1.1903,2.8145,-1.37%,限制大额申购,开放赎回,-0.21%
2020-11-16,1.2068,2.8310,3.88%,限制大额申购,开放赎回,1.11%
2020-11-13,1.1617,2.7859,-3.43%,限制大额申购,开放赎回,-0.86%
2020-11-12,1.2029,2.8271,1.75%,限制大额申购,开放赎回,-0.11%
2020-11-11,1.1822,2.8064,0.12%,限制大额申购,开放赎回,-0.53%
2020-11-10,1.1808,2.8050,2.15%,限制大额申购,开放赎回,-0.40%
2020-11-09,1.1560,2.7802,1.91%,限制大额申购,开放赎回,1.86%
2020-11-06,1.1343,2.7585,-0.66%,限制大额申购,开放赎回,-0.24%
2020-11-05,1.1418,2.7660,1.89%,限制大额申购,开放赎回,1.30%
2020-11-04,1.1206,2.7448,0.48%,限制大额申购,开放赎回,0.19%
2020-11-03,1.1152,2.7394,1.10%,限制大额申购,开放赎回,1.42%
